分类: 📺央视频道, 名称: CCTV-1, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 231 ms, 最高速率: 15.82 M/s, 平均速率: 7.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-2, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 239 ms, 最高速率: 18.89 M/s, 平均速率: 7.63 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-3, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 211 ms, 最高速率: 18.28 M/s, 平均速率: 7.41 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-4, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 194 ms, 最高速率: 16.09 M/s, 平均速率: 6.75 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 334 ms, 最高速率: 8.47 M/s, 平均速率: 5.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-5+, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 227 ms, 最高速率: 9.72 M/s, 平均速率: 3.87 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-6, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 237 ms, 最高速率: 17.66 M/s, 平均速率: 7.61 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-7, 有效: 5, IPv4: 30, IPv6: 0, 最小延迟: 217 ms, 最高速率: 14.37 M/s, 平均速率: 8.48 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-9, 有效: 5, IPv4: 31, IPv6: 0, 最小延迟: 181 ms, 最高速率: 12.98 M/s, 平均速率: 7.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-8, 有效: 4, IPv4: 24, IPv6: 0, 最小延迟: 244 ms, 最高速率: 18.11 M/s, 平均速率: 9.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.92, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-10, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 255 ms, 最高速率: 17.05 M/s, 平均速率: 8.44 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-11, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 234 ms, 最高速率: 18.17 M/s, 平均速率: 9.56 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-13, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 286 ms, 最高速率: 17.29 M/s, 平均速率: 7.25 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-12, 有效: 4, IPv4: 27, IPv6: 0, 最小延迟: 204 ms, 最高速率: 16.40 M/s, 平均速率: 8.67 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.91, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-14, 有效: 5, IPv4: 28, IPv6: 0, 最小延迟: 246 ms, 最高速率: 16.71 M/s, 平均速率: 9.49 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-15, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 275 ms, 最高速率: 17.27 M/s, 平均速率: 7.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-16, 有效: 5, IPv4: 13, IPv6: 0, 最小延迟: 480 ms, 最高速率: 8.81 M/s, 平均速率: 5.20 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CCTV-17, 有效: 5, IPv4: 20, IPv6: 0, 最小延迟: 250 ms, 最高速率: 17.93 M/s, 平均速率: 10.42 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-3, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: 200 ms, 最高速率: 13.76 M/s, 平均速率: 0.00 M/s, 最高分辨率: 720x576, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📺央视频道, 名称: CETV-1, 有效: 0, IPv4: 7, IPv6: 0, 最小延迟: 10355 ms, 最高速率: 0.23 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 50.00, 视频编解码器: h264, 音频编解码器: mp2
分类: 📺央视频道, 名称: CETV-2, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: 10267 ms, 最高速率: 0.01 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📺央视频道, 名称: CETV-4, 有效: 0, IPv4: 5, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 广东卫视, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 271 ms, 最高速率: 16.14 M/s, 平均速率: 8.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖南卫视, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 208 ms, 最高速率: 15.55 M/s, 平均速率: 8.32 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 浙江卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 345 ms, 最高速率: 16.23 M/s, 平均速率: 9.46 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 香港卫视, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 10877 ms, 最高速率: 0.23 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
分类: 📡卫视频道, 名称: 北京卫视, 有效: 5, IPv4: 29, IPv6: 0, 最小延迟: 246 ms, 最高速率: 19.45 M/s, 平均速率: 9.14 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 湖北卫视, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 257 ms, 最高速率: 20.81 M/s, 平均速率: 10.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 黑龙江卫视, 有效: 4, IPv4: 21, IPv6: 0, 最小延迟: 229 ms, 最高速率: 16.71 M/s, 平均速率: 9.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 43.75, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 安徽卫视, 有效: 5, IPv4: 23, IPv6: 0, 最小延迟: 174 ms, 最高速率: 16.76 M/s, 平均速率: 7.57 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.91, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 重庆卫视, 有效: 3, IPv4: 24, IPv6: 0, 最小延迟: 216 ms, 最高速率: 17.84 M/s, 平均速率: 11.18 M/s, 最高分辨率: 1920x1080, 平均帧率: 41.67, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 24, IPv6: 0, 最小延迟: 300 ms, 最高速率: 18.54 M/s, 平均速率: 8.70 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 东南卫视, 有效: 3, IPv4: 25, IPv6: 0, 最小延迟: 267 ms, 最高速率: 17.00 M/s, 平均速率: 12.90 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.36, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 2, IPv4: 14, IPv6: 0, 最小延迟: 177 ms, 最高速率: 10.16 M/s, 平均速率: 9.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 广西卫视, 有效: 3, IPv4: 19, IPv6: 0, 最小延迟: 249 ms, 最高速率: 19.57 M/s, 平均速率: 9.91 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 269 ms, 最高速率: 15.86 M/s, 平均速率: 7.60 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河北卫视, 有效: 5, IPv4: 21, IPv6: 0, 最小延迟: 259 ms, 最高速率: 18.01 M/s, 平均速率: 9.54 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 海南卫视, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 618 ms, 最高速率: 11.97 M/s, 平均速率: 8.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 26, IPv6: 0, 最小延迟: 17 ms, 最高速率: 25.94 M/s, 平均速率: 12.83 M/s, 最高分辨率: 1920x1080, 平均帧率: 29.17, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 3, IPv4: 21, IPv6: 0, 最小延迟: 249 ms, 最高速率: 19.08 M/s, 平均速率: 13.98 M/s, 最高分辨率: 1920x1080, 平均帧率: 35.71, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 27, IPv6: 0, 最小延迟: 284 ms, 最高速率: 16.73 M/s, 平均速率: 6.29 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 江西卫视, 有效: 3, IPv4: 23, IPv6: 0, 最小延迟: 289 ms, 最高速率: 16.20 M/s, 平均速率: 12.79 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 3, IPv4: 25, IPv6: 0, 最小延迟: 278 ms, 最高速率: 20.18 M/s, 平均速率: 13.58 M/s, 最高分辨率: 1920x1080, 平均帧率: 42.50, 视频编解码器: h264, 音频编解码器: mp2
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 371 ms, 最高速率: 11.92 M/s, 平均速率: 10.39 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 1, IPv4: 16, IPv6: 0, 最小延迟: 221 ms, 最高速率: 14.19 M/s, 平均速率: 14.19 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 青海卫视, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 258 ms, 最高速率: 19.94 M/s, 平均速率: 15.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山东卫视, 有效: 4, IPv4: 24, IPv6: 0, 最小延迟: 308 ms, 最高速率: 12.86 M/s, 平均速率: 10.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 山西卫视, 有效: 2, IPv4: 17, IPv6: 0, 最小延迟: 371 ms, 最高速率: 9.71 M/s, 平均速率: 9.43 M/s, 最高分辨率: 1920x1080, 平均帧率: 32.14, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 3, IPv4: 20, IPv6: 0, 最小延迟: 246 ms, 最高速率: 19.61 M/s, 平均速率: 13.03 M/s, 最高分辨率: 1920x1080, 平均帧率: 34.09, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 四川卫视, 有效: 3, IPv4: 19, IPv6: 0, 最小延迟: 329 ms, 最高速率: 16.82 M/s, 平均速率: 11.16 M/s, 最高分辨率: 1920x1080, 平均帧率: 31.25, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 深圳卫视, 有效: 4, IPv4: 22, IPv6: 0, 最小延迟: 244 ms, 最高速率: 14.74 M/s, 平均速率: 8.17 M/s, 最高分辨率: 1920x1080, 平均帧率: 38.89, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 三沙卫视, 有效: 2, IPv4: 10, IPv6: 0, 最小延迟: 410 ms, 最高速率: 12.74 M/s, 平均速率: 8.13 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 天津卫视, 有效: 5, IPv4: 25, IPv6: 0, 最小延迟: 268 ms, 最高速率: 17.03 M/s, 平均速率: 7.97 M/s, 最高分辨率: 1920x1080, 平均帧率: 37.50, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 西藏卫视, 有效: 1, IPv4: 11, IPv6: 0, 最小延迟: 331 ms, 最高速率: 12.94 M/s, 平均速率: 12.94 M/s, 最高分辨率: 1920x1080, 平均帧率: 40.00, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 新疆卫视, 有效: 2, IPv4: 15, IPv6: 0, 最小延迟: 256 ms, 最高速率: 15.93 M/s, 平均速率: 12.59 M/s, 最高分辨率: 1920x1080, 平均帧率: 33.33, 视频编解码器: h264, 音频编解码器: aac
分类: 📡卫视频道, 名称: 云南卫视, 有效: 4, IPv4: 18, IPv6: 0, 最小延迟: 233 ms, 最高速率: 17.43 M/s, 平均速率: 9.55 M/s, 最高分辨率: 1920x1080, 平均帧率: 36.11, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️广东频道, 名称: 广东珠江, 有效: 0, IPv4: 2, IPv6: 0, 最小延迟: 6929 ms, 最高速率: 0.19 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080, 平均帧率: 25.00, 视频编解码器: h264, 音频编解码器: mp2
分类: ☘️广东频道, 名称: 广东民生, 有效: 0, IPv4: 1, IPv6: 0, 最小延迟: -1 ms, 最高速率: 0.00 M/s, 平均速率: 0.00 M/s, 最高分辨率: None, 平均帧率: 未知, 视频编解码器: 未知, 音频编解码器: 未知
